,route_id,average_speed,month_year
682,B6,7.799205,06/2023
683,B6,7.0475955,06/2023
684,B6,7.9158053,06/2023
685,B6,7.709007,06/2023
686,B6,8.163318,07/2023
687,B6,7.4137983,07/2023
688,B6,8.1132,07/2023
689,B6,7.882264,07/2023
690,B6,8.15528,08/2023
691,B6,7.481654,08/2023
692,B6,8.066394,08/2023
693,B6,7.8354383,08/2023
694,B6,7.479423,09/2023
695,B6,6.6623597,09/2023
696,B6,7.9974318,09/2023
697,B6,7.72114,09/2023
698,B6,7.6404896,10/2023
699,B6,6.777205,10/2023
700,B6,7.9424987,10/2023
701,B6,7.6160693,10/2023
702,B6,7.649473,11/2023
703,B6,6.6938777,11/2023
704,B6,7.9301944,11/2023
705,B6,7.5914707,11/2023
706,B6,7.676588,12/2023
707,B6,6.8568506,12/2023
708,B6,7.927246,12/2023
709,B6,7.5523095,12/2023
710,B6,7.876319,01/2024
711,B6,6.9794574,01/2024
712,B6,8.140635,01/2024
713,B6,7.8075695,01/2024
714,B6,7.835976,02/2024
715,B6,6.8958426,02/2024
716,B6,8.016732,02/2024
717,B6,7.698914,02/2024
718,B6,7.693522,03/2024
719,B6,6.841295,03/2024
720,B6,7.9024973,03/2024
721,B6,7.713137,03/2024
722,B6,7.8431697,04/2024
723,B6,7.0755844,04/2024
724,B6,7.936649,04/2024
725,B6,7.6920156,04/2024
726,B6,7.573247,05/2024
727,B6,6.8082232,05/2024
728,B6,7.8213396,05/2024
729,B6,7.597477,05/2024
730,B6,7.71569,06/2024
731,B6,7.102491,06/2024
732,B6,7.782439,06/2024
733,B6,7.603363,06/2024
734,B6,8.074925,07/2024
735,B6,7.3877907,07/2024
736,B6,8.05317,07/2024
737,B6,7.8951826,07/2024
738,B6,8.116699,08/2024
739,B6,7.4973764,08/2024
740,B6,8.056677,08/2024
741,B6,7.8368125,08/2024
742,B6,7.543156,09/2024
743,B6,6.6720214,09/2024
744,B6,7.7931,09/2024
745,B6,7.5351286,09/2024
746,B6,7.7028093,10/2024
747,B6,6.8707957,10/2024
748,B6,7.877905,10/2024
749,B6,7.5713615,10/2024
750,B6,7.612132,11/2024
751,B6,6.661954,11/2024
752,B6,7.936422,11/2024
753,B6,7.580908,11/2024
754,B6,7.691789,12/2024
755,B6,6.8445125,12/2024
756,B6,7.9338403,12/2024
757,B6,7.5770993,12/2024
758,B41,7.0653114,01/2025
759,B41,6.587245,01/2025
760,B41,7.657926,01/2025
761,B41,7.39114,01/2025
762,B41,6.9032884,02/2025
763,B41,6.458665,02/2025
764,B41,7.367757,02/2025
765,B41,7.3148704,02/2025
766,B41,6.930132,03/2025
767,B41,6.4852104,03/2025
768,B41,7.3860416,03/2025
769,B41,7.166348,03/2025
770,B41,6.9680567,04/2025
771,B41,6.5568504,04/2025
772,B41,7.478823,04/2025
773,B41,7.387256,04/2025
774,B41,6.803416,05/2025
775,B41,6.322175,05/2025
776,B41,7.199627,05/2025
777,B41,7.1446924,05/2025
778,B41,6.825296,06/2025
779,B41,6.510757,06/2025
780,B41,7.3094773,06/2025
781,B41,7.266992,06/2025
782,B41,6.93665,07/2025
783,B41,6.706244,07/2025
784,B41,7.3792286,07/2025
785,B41,7.2830243,07/2025
786,B44+,8.35257,01/2025
787,B44+,8.796961,01/2025
788,B44+,8.3238535,01/2025
789,B44+,9.474274,01/2025
790,B44+,9.553132,01/2025
791,B44+,8.21771,02/2025
792,B44+,8.618538,02/2025
793,B44+,8.254066,02/2025
794,B44+,9.083581,02/2025
795,B44+,9.417516,02/2025
796,B44+,8.082459,03/2025
797,B44+,8.498243,03/2025
798,B44+,8.271846,03/2025
799,B44+,9.167877,03/2025
800,B44+,9.425918,03/2025
801,B44+,8.113241,04/2025
802,B44+,8.75521,04/2025
803,B44+,8.456572,04/2025
804,B44+,9.474285,04/2025
805,B44+,9.73425,04/2025
806,B44+,8.136104,05/2025
