month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2022-08-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,48475.78,7041,6.884659
2022-08-01,Brooklyn,1,LCL/LTD,B41,Peak,19551.047,2898,6.7448378
2022-08-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,13865.52,1910,7.25655
2022-08-01,Brooklyn,2,LCL/LTD,B41,Peak,5154.455,715,7.208969
2022-09-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,39023.105,5833,6.689773
2022-09-01,Brooklyn,1,LCL/LTD,B41,Peak,16265.345,2615,6.217772
2022-09-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,13883.027,1933,7.180427
2022-09-01,Brooklyn,2,LCL/LTD,B41,Peak,4988.232,702,7.099569
2022-10-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,42176.566,6286,6.709198
2022-10-01,Brooklyn,1,LCL/LTD,B41,Peak,18079.176,2895,6.2434545
2022-10-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,16859.574,2396,7.0363646
2022-10-01,Brooklyn,2,LCL/LTD,B41,Peak,6075.848,875,6.943383
2022-11-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,40933.152,6129,6.6784716
2022-11-01,Brooklyn,1,LCL/LTD,B41,Peak,17177.719,2744,6.259691
2022-11-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,16931.904,2338,7.240497
2022-11-01,Brooklyn,2,LCL/LTD,B41,Peak,6444.098,920,6.9970856
2022-12-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,42608.926,6326,6.735318
2022-12-01,Brooklyn,1,LCL/LTD,B41,Peak,17944.705,2852,6.2914305
2022-12-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,16930.799,2294,7.380428
2022-12-01,Brooklyn,2,LCL/LTD,B41,Peak,6131.704,853,7.184445
2023-01-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,42402.57,6170,6.871672
2023-01-01,Brooklyn,1,LCL/LTD,B41,Peak,18547.531,2896,6.4024863
2023-01-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,20087.922,2675,7.5088515
2023-01-01,Brooklyn,2,LCL/LTD,B41,Peak,7622.176,1039,7.331565
2023-02-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,41239.62,5955,6.924354
2023-02-01,Brooklyn,1,LCL/LTD,B41,Peak,18192.414,2821,6.447731
2023-02-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,16589.432,2226,7.449996
2023-02-01,Brooklyn,2,LCL/LTD,B41,Peak,6196.295,858,7.219468
2023-03-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,50773.777,7441,6.8226757
2023-03-01,Brooklyn,1,LCL/LTD,B41,Peak,22786.176,3547,6.4227657
2023-03-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,13826.274,1918,7.2052093
2023-03-01,Brooklyn,2,LCL/LTD,B41,Peak,4901.289,697,7.0278726
2023-04-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,44773.367,6431,6.9618187
2023-04-01,Brooklyn,1,LCL/LTD,B41,Peak,20383.38,3091,6.5942416
2023-04-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,16413.18,2306,7.115109
2023-04-01,Brooklyn,2,LCL/LTD,B41,Peak,6021.89,846,7.1144524
2023-05-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,47297.58,6929,6.825627
2023-05-01,Brooklyn,1,LCL/LTD,B41,Peak,21297.828,3371,6.317615
2023-05-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,14625.752,2078,7.03527
2023-05-01,Brooklyn,2,LCL/LTD,B41,Peak,5540.373,788,7.0258927
2023-06-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,47767.26,7017,6.8065777
2023-06-01,Brooklyn,1,LCL/LTD,B41,Peak,21687.678,3374,6.4276414
2023-06-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,13933.871,1959,7.1120377
2023-06-01,Brooklyn,2,LCL/LTD,B41,Peak,5136.658,731,7.0213795
2023-07-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,43932.984,6437,6.8244753
2023-07-01,Brooklyn,1,LCL/LTD,B41,Peak,19079.135,2916,6.5408864
2023-07-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,19456.219,2685,7.2453003
2023-07-01,Brooklyn,2,LCL/LTD,B41,Peak,7121.017,997,7.137606
2023-08-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,50424.547,7372,6.839791
2023-08-01,Brooklyn,1,LCL/LTD,B41,Peak,21621.912,3259,6.6342273
2023-08-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,14452.756,2001,7.220903
2023-08-01,Brooklyn,2,LCL/LTD,B41,Peak,5262.084,736,7.1425323
2023-09-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,38276.23,5821,6.575538
2023-09-01,Brooklyn,1,LCL/LTD,B41,Peak,17423.062,2869,6.071
2023-09-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,15120.714,2172,6.961363
2023-09-01,Brooklyn,2,LCL/LTD,B41,Peak,5554.983,802,6.9189982
2023-10-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,44235.6,6707,6.595154
2023-10-01,Brooklyn,1,LCL/LTD,B41,Peak,19943.38,3258,6.121072
2023-10-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,14158.843,2063,6.861244
2023-10-01,Brooklyn,2,LCL/LTD,B41,Peak,5028.933,746,6.7355165
2023-11-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,43391.81,6461,6.7157435
2023-11-01,Brooklyn,1,LCL/LTD,B41,Peak,19531.941,3168,6.1649404
2023-11-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,13524.214,1860,7.267473
2023-11-01,Brooklyn,2,LCL/LTD,B41,Peak,4928.377,698,7.0506697
2023-12-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,40032.973,5955,6.722139
2023-12-01,Brooklyn,1,LCL/LTD,B41,Peak,17875.006,2862,6.244029
2023-12-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,17370.008,2398,7.2411575
2023-12-01,Brooklyn,2,LCL/LTD,B41,Peak,6309.394,884,7.132077
2024-01-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,45325.387,6602,6.8644714
2024-01-01,Brooklyn,1,LCL/LTD,B41,Peak,20443.658,3191,6.4058895
2024-01-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,16993.875,2269,7.486622
2024-01-01,Brooklyn,2,LCL/LTD,B41,Peak,6437.008,879,7.3176093
2024-02-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,43011.96,6248,6.8836946
2024-02-01,Brooklyn,1,LCL/LTD,B41,Peak,19722.865,3098,6.3658824
2024-02-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,15481.572,2088,7.4130816
2024-02-01,Brooklyn,2,LCL/LTD,B41,Peak,5581.235,787,7.0855303
2024-03-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,44504.156,6667,6.6746836
2024-03-01,Brooklyn,1,LCL/LTD,B41,Peak,20364.021,3298,6.1737413
2024-03-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,15848.405,2245,7.058217
2024-03-01,Brooklyn,2,LCL/LTD,B41,Peak,5545.458,801,6.9221554
2024-04-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,48154.844,7085,6.7960935
2024-04-01,Brooklyn,1,LCL/LTD,B41,Peak,21329.322,3299,6.465117
2024-04-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,13152.509,1861,7.066055
2024-04-01,Brooklyn,2,LCL/LTD,B41,Peak,4798.172,686,6.989973
2024-05-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,45386.71,6953,6.52762
2024-05-01,Brooklyn,1,LCL/LTD,B41,Peak,19618.219,3270,5.998527
2024-05-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,13004.38,1898,6.8482633
2024-05-01,Brooklyn,2,LCL/LTD,B41,Peak,4566.979,662,6.88862
2024-06-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,40986.156,6235,6.573417
2024-06-01,Brooklyn,1,LCL/LTD,B41,Peak,18522.668,2938,6.3023906
2024-06-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,15986.621,2309,6.922345
2024-06-01,Brooklyn,2,LCL/LTD,B41,Peak,5518.302,812,6.787918
2024-07-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,45374.176,6626,6.847004
2024-07-01,Brooklyn,1,LCL/LTD,B41,Peak,20406.986,3068,6.6496167
2024-07-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,15536.418,2090,7.4326043
2024-07-01,Brooklyn,2,LCL/LTD,B41,Peak,5792.763,790,7.3239923
2024-08-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,44120.324,6562,6.723258
2024-08-01,Brooklyn,1,LCL/LTD,B41,Peak,19368.152,2925,6.61982
2024-08-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,14409.139,2004,7.187564
2024-08-01,Brooklyn,2,LCL/LTD,B41,Peak,5189.806,738,7.0266056
2024-09-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,41816.805,6254,6.685964
2024-09-01,Brooklyn,1,LCL/LTD,B41,Peak,19180.303,3090,6.206244
2024-09-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,14641.617,2086,7.018337
